country_name_short,country_name,party_name_short,party_name_english,party_name,party_name_ascii,family_name_short,family_name,left_right,state_market,liberty_authority,eu_anti_pro,cmp,euprofiler,ees,castles_mair,huber_inglehart,ray,benoit_laver,chess,country_id,party_id,family_id
AUS,Australia,ACP-V,Australian Country Party (Vic),Australian Country Party (Vic),Australian Country Party (Vic),con,Conservative,,,,,,,,,,,,,33,1935,26
AUS,Australia,AD,Australian Democrats,Australian Democrats,Australian Democrats,soc,Social democracy,3.7003898970100146,3.3684211028249633,1.1578947619387998,,63321,,,102,203,,4703,,33,120,11
AUS,Australia,AG,Australian Greens,Australian Greens,Australian Greens,eco,Green/Ecologist,1.5438596825850635,1.2982456307662158,0.5614034753096736,,,,,,,,4739,,33,751,19
AUS,Australia,ALP,Australian Labor Party,Australian Labor Party,Australian Labor Party,soc,Social democracy,3.88333336679559,4.035087886609532,3.263157794350074,,63320,,,101,,,4721,,33,1253,11
AUS,Australia,AP,Australia Party,Australia Party,Australia Party,lib,Liberal,,,,,,,,,,,,,33,1760,6
AUS,Australia,C,Coalition,Coalition,Coalition,all,electoral alliance,,,,,,,,,,,,,33,1428,27
AUS,Australia,CDP,Christian Democratic Party,Christian Democratic Party,Christian Democratic Party,chr,Christian democracy,,,,,,,,,,,,,33,1650,3
AUS,Australia,CLP,Country Liberal Party,Country Liberal Party,Country Liberal Party,reg,Regional,,,,,,,,,,,,,33,215,9
AUS,Australia,CN-QLD,Country-National Party (Qld),Country-National Party (Qld),Country-National Party (Qld),all,electoral alliance,,,,,,,,,,,,,33,1933,27
AUS,Australia,COM,Communist,Communist,Communist,com,Communist/Socialist,,,,,,,,,,,,,33,1922,14
AUS,Australia,CPP-V,Country Progressive Party (Vic),Country Progressive Party (Vic),Country Progressive Party (Vic),con,Conservative,,,,,,,,,,,,,33,1914,26
AUS,Australia,DLP,Democratic Labour Party,Democratic Labour Party,Democratic Labour Party,soc,Social democracy,4.166666666666667,,,,63330,,,,204,,,,33,1306,11
AUS,Australia,EC-SA,Emergency Committee (SA),Emergency Committee (SA),Emergency Committee (SA),code,to be coded,,,,,,,,,,,,,33,1904,28
AUS,Australia,FC-V,Federal Country,Federal Country,Federal Country,,,,,,,,,,,,,,,33,1924,
AUS,Australia,FFP,Family First Party,Family First Party,Family First Party,con,Conservative,,,,,,,,,,,,,33,446,26
AUS,Australia,FS-NSW,Farmers and Settlers (NSW),Farmers and Settlers (NSW),Farmers and Settlers (NSW),agr,Agrarian,,,,,,,,,,,,,33,1913,2
AUS,Australia,FTP,Free Trade Party,Free Trade Party,Free Trade Party,lib,Liberal,,,,,,,,,,,,,33,1938,6
AUS,Australia,ILP-QLD,Independet Labor Party (Qld),Independet Labor Party (Qld),Independet Labor Party (Qld),soc,Social democracy,,,,,,,,,,,,,33,1899,11
AUS,Australia,INAT,Independet Nationalist,Independet Nationalist,Independet Nationalist,code,to be coded,,,,,,,,,,,,,33,1903,28
AUS,Australia,IPP-V,Independent Protectionist Party (Vic),Independent Protectionist Party (Vic),Independent Protectionist Party (Vic),code,to be coded,,,,,,,,,,,,,33,1917,28
AUS,Australia,IUAP-NSW,Independent UAP (NSW),Independent UAP (NSW),Independent UAP (NSW),none,no family,,,,,,,,,,,,,33,1941,12
AUS,Australia,LCL,Liberal and Country League,Liberal and Country League,Liberal and Country League,soc,Social democracy,,,,,,,,,,,,,33,1919,11
AUS,Australia,LCP-V,Liberal Country Party (Vic),Liberal Country Party (Vic),Liberal Country Party (Vic),agr,Agrarian,,,,,,,,,,,,,33,1939,2
AUS,Australia,LD-NSW,Liberal Democratic Party (New South Wales),Liberal Democratic Party (New South Wales),Liberal Democratic Party (New South Wales),lib,Liberal,,,,,,,,,,,,,33,1927,6
AUS,Australia,LLP,Lang Labour Party,Lang Labour Party,Lang Labour Party,soc,Social democracy,,,,,,,,,,,,,33,303,11
AUS,Australia,LNPQ,Liberal National Party of Queensland,Liberal National Party of Queensland,Liberal National Party of Queensland,lib,Liberal,,,,,,,,,,,,,33,154,6
AUS,Australia,LPA,Liberal Party of Australia,Liberal Party of Australia,Liberal Party of Australia,con,Conservative,7.390253422460124,8.421052631578947,6.982456006501842,,63620,,,103,205,,4757,,33,1411,26
AUS,Australia,NAT,Nationalist Party of Australia,Nationalist Party of Australia,Nationalist Party of Australia,right,Right-wing,,,,,,,,,,,,,33,1905,40
AUS,Australia,NAT-WA,Nationalist,Nationalist,Nationalist,con,Conservative,,,,,,,,,,,,,33,1925,26
AUS,Australia,NCL-NSW,Australian Labor Party (Non-Communist),Australian Labor Party (Non-Communist),Australian Labor Party (Non-Communist),soc,Social democracy,,,,,,,,,,,,,33,1940,11
AUS,Australia,NCP-NPA,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,National (Country) Party -- National Party of Australia,con,Conservative,7.822222233376304,6.24561410201221,8.45614081934879,,63810,,,104,206,,4775,,33,184,26
AUS,Australia,NF-NSW,Nationalist and Farmers (NSW),Nationalist and Farmers (NSW),Nationalist and Farmers (NSW),code,to be coded,,,,,,,,,,,,,33,1918,28
AUS,Australia,NL,National Labor,National Labor,National Labor,soc,Social democracy,,,,,,,,,,,,,33,2003,11
AUS,Australia,ONP,One Nation Party,One Nation Party,One Nation Party,right,Right-wing,8.157894736842104,5.3007517362895795,7.964912213777263,,,,,,,,4793,,33,386,40
AUS,Australia,OPA,One Parliament for Australia,One Parliament for Australia,One Parliament for Australia,code,to be coded,,,,,,,,,,,,,33,1936,28
AUS,Australia,PP,Protectionist Party,Protectionist Party,Protectionist Party,con,Conservative,,,,,,,,,,,,,33,1898,26
AUS,Australia,QC,Queensland Country Party,Queensland Country Party,Queensland Country Party,con,Conservative,,,,,,,,,,,,,33,1928,26
AUS,Australia,RTP-T,Revenue Tariff Party (Tas),Revenue Tariff Party (Tas),Revenue Tariff Party (Tas),code,to be coded,,,,,,,,,,,,,33,1921,28
AUS,Australia,SC-V,State Country,State Country,State Country,,,,,,,,,,,,,,,33,1920,
AUS,Australia,SCP,Social Credit Party,Social Credit Party,Social Credit Party,spec,Special issue,,,,,,,,,,,,,33,1911,16
AUS,Australia,SL-NSW,State Labor Party (NSW),State Labor Party (NSW),State Labor Party (NSW),com,Communist/Socialist,,,,,,,,,,,,,33,1908,14
AUS,Australia,SPA,Services Party of Australia,Services Party of Australia,Services Party of Australia,code,to be coded,,,,,,,,,,,,,33,1897,28
AUS,Australia,UAP,United Australia Party,United Australia Party,United Australia Party,con,Conservative,,,,,,,,,,,,,33,1912,26
AUS,Australia,UCP-V,United Country Party (Vic),United Country Party (Vic),United Country Party (Vic) ,con,Conservative,,,,,,,,,,,,,33,1932,26
AUS,Australia,VFU-V,Victorian Farmers' Union,Victorian Farmers' Union,Victorian Farmers' Union,agr,Agrarian,,,,,,,,,,,,,33,1929,2
AUS,Australia,WAP,Western Australian Party,Western Australian Party,Western Australian Party,lib,Liberal,,,,,,,,,,,,,33,1906,6
AUS,Australia,etc,others,others,others,none,no family,,,,,,,,,,,,,33,1084,12
AUS,Australia,no-seat,no seats,no seats,no seats,none,no family,,,,,,,,,,,,,33,2057,12
AUS,Australia,none,no party affiliation,no party affiliation,no party affiliation,none,no family,,,,,,,,,,,,,33,1396,12
AUT,Austria,ALO,Alternative List Austria,Alternative Liste Österreichs,Alternative Liste Oesterreichs,eco,Green/Ecologist,,,,,,,,,,,,,59,1739,19
AUT,Austria,ApE,Movement for Political Renewal,Aktion zur politischen Erneuerung,Aktion zur politischen Erneuerung,right,Right-wing,,,,,,,,,,,,,59,1819,40
AUT,Austria,BZO,Alliance for the Future of Austria,Bündnis Zukunft Österreich,Buendnis Zukunft Oesterreich,right,Right-wing,8.83,6,8.83,2.5,,8,1040600,,,,,1307,59,1536,40
AUT,Austria,CSA,Christian social alliance,Christlich Soziale Allianz (Liste Karl Habsburg),Christlich Soziale Allianz (Liste Karl Habsburg),chr,Christian democracy,,,,,,,,,,,,,59,1752,3
AUT,Austria,DFP,Democratic Progressive Party,Demokratische Fortschrittliche Partei,Demokratische Fortschrittliche Partei,spec,Special issue,,,,,,,,,,,,,59,1743,16
AUT,Austria,DU,The Independents -- Lugner's List,Die Unabhängigen – Liste Lugner,Die Unabhaengigen -- Liste Lugner,spec,Special issue,,,,,,,,,,,,,59,1745,16
AUT,Austria,FPO,Freedom Party of Austria,Freiheitliche Partei Österreichs,Freiheitliche Partei Oesterreichs,right,Right-wing,8.349366487629466,6.329078971210278,8.514868397210774,1.9814911962810322,42420,10,1040420,204,311,1303,4811,1303,59,50,40
AUT,Austria,Fritz,The Citizens`Forum Austria,Bürgerforum Österreich – Liste Fritz Dinkhauser,Buergerforum Oesterreich -- Liste Fritz Dinkhauser,soc,Social democracy,,,,,,,,,,,,,59,1746,11
AUT,Austria,GRUENE,The Greens -- The Green Alternative,Die Grünen – Die grüne Alternative,Die Gruenen -- Die gruene Alternative,eco,Green/Ecologist,2.460438615564714,2.7489473684210526,1.4307894736842104,6.684473747788813,42110,9,1040110,,307,1304,4829,1304,59,1429,19
AUT,Austria,K/L,Communists and Left Socialists,Kommunisten und Linkssozialisten,Kommunisten und Linkssozialisten,all,electoral alliance,0.5,,,,42220,,,201,,,,,59,1764,27
AUT,Austria,KPO,Communist Party of Austria,Kommunistische Partei Österreichs,Kommunistische Partei Oesterreichs,com,Communist/Socialist,0.5,,,0,42220,3,1040220,201,,1305,,,59,769,14
AUT,Austria,LIF,Liberal Forum,Liberales Forum,Liberales Forum,lib,Liberal,4.880555531713698,7.366666634877523,1.8666666507720933,9.6125,42421,,1040422,,310,1306,,1306,59,955,6
AUT,Austria,MARTIN,Hans-Peter Martin's List,Liste Dr. Hans-Peter Martin,Liste Dr. Hans-Peter Martin,spec,Special issue,4.2,5,3.4,2.85,,,1040951,,,,,1308,59,669,16
AUT,Austria,N,Citizens' Initiative for the retention of neutrality,Die Neutralen - Bürgerinitiative,Die Neutralen - Buergerinitiative,spec,Special issue,,,,,,,,,,,,,59,1750,16
AUT,Austria,Nein,No -- Citizens' Initiative against EU membership,Nein – Bürgerinitiative gegen die EU Mitgliedschaft,Nein -- Bürgerinitiative gegen die EU Mitgliedschaft,spec,Special issue,,,,,,,,,,,,,59,1744,16
AUT,Austria,OVP,Austrian People's Party,Österreichische Volkspartei,Oesterreichische Volkspartei,chr,Christian democracy,6.473318681661149,6.948486794421548,7.619802631578947,8.845087782876533,42520,6,1040520,203,309,1302,4847,1302,59,1013,3
AUT,Austria,SAP,Socialist Workers Party,Sozialistische Arbeiter Partei,Sozialistische Arbeiter Partei,com,Communist/Socialist,,,,,,,,,,,,,59,1765,14
AUT,Austria,SPO,Social Democratic Party of Austria,Sozialdemokratische Partei Österreichs,Sozialdemokratische Partei Oesterreichs,soc,Social democracy,3.729269005847953,3.472763110211022,3.476578947368421,8.449473685883639,42320,11,1040320,202,308,1301,4865,1301,59,973,11
AUT,Austria,VGO,United Greens Austria,Vereinte Grüne Österreichs,Vereinte Gruene Oesterreichs,eco,Green/Ecologist,,,,,,,,,,,,,59,1740,19
AUT,Austria,VdU,Federation of Independents,Verband der Unabhängigen,Verband der Unabhaengigen,right,Right-wing,6.8,,,,42420,,,204,,,,,59,1818,40
AUT,Austria,WdU,Party of the Independents,Wahlpartei der Unabhängigen,Wahlpartei der Unabhaengigen,all,electoral alliance,6.8,,,,42420,,,204,,,,,59,1820,27
AUT,Austria,etc,others,sonstige,sonstige,none,no family,,,,,,,,,,,,,59,389,12
AUT,Austria,no-seat,no seats,no seats,no seats,none,no family,,,,,,,,,,,,,59,2055,12
AUT,Austria,none,no party affiliation,Parteilose,Parteilose,none,no family,,,,,,,,,,,,,59,272,12
AUT,Austria,todo,to be coded,to be coded,to be coded,none,no family,,,,,,,,,,,,,59,1039,12
BEL,Belgium,AGL-Gr,Agalev -- Groen,Agalev – Groen,Agalev -- Groen,eco,Green/Ecologist,2.5761500930507277,2.0089159202575684,1.023403881976479,7.259298235575361,21112,13,1056112,305,401,105,4963,105,64,1594,19
BEL,Belgium,BSP-PSB,Belgian Socialist Party,Belgische Socialistische Partij – Parti Socialiste Belge,Belgische Socialistische Partij -- Parti Socialiste Belge,soc,Social democracy,2.5,,,,21320,,,302,,,,,64,167,11
BEL,Belgium,CD&V,Christian Democrats & Flemish,Christen-Democratisch en Vlaams,Christen-Democratisch en Vlaams,chr,Christian democracy,5.808943112423539,5.587597766073132,7.20830947474429,8.9012916856063,21521,12,1056521,307,,109,4883,109,64,1310,3
BEL,Belgium,CD&V/N-VA,Christian-Democrat and Flemish/New Flemish Alliance,Christen-Democratisch & Vlaams/Nieuw-Vlaams Alliantie,Christen-Democratisch & Vlaams/Nieuw-Vlaams Alliantie,all,electoral alliance,,,,,,,,,,,,,64,972,27
BEL,Belgium,CSP,Christian Social Party,Christlich Soziale Partei,Christlich Soziale Partei,chr,Christian democracy,,,,,,,,,,,,,64,119,3
BEL,Belgium,CVP,Flemish Christian Peoples Party,Christelijke Volkspartij,Christelijke Volkspartij,chr,Christian democracy,5.766711852945543,5.587597766073132,7.20830947474429,8.9012916856063,21521,,,307,406,109,4883,109,64,723,3
BEL,Belgium,CVV,Flemish Christian Peoples Union,Christelijke Vlaamse Volksunie,Christelijke Vlaamse Volksunie,chr,Christian democracy,,,,,,,,,,,,,64,361,3
BEL,Belgium,Ecolo,Confederated ecologists for the organisation of original struggles,Écologistes Confédérés pour l'organisation de luttes originales,Ecologistes Confederes pour l'organisation de luttes originales,eco,Green/Ecologist,2.6410233871653297,2.3886904791781776,1.3743609112187434,7.541072100589145,21111,23,1056111,305,402,104,4923,104,64,161,19
BEL,Belgium,FDF,Francophone Democratic Front,Front Démocratique des Francophones,Front Democratique des Francophones,eth,Ethnic,6.125925943586562,6.25,5.80000019073486,8.727380895614624,21912,,,306,408,111,,111,64,969,17
BEL,Belgium,FDF/RW,Democratic Front of the Francophones / Walloon Rally,Front Démocratique des Francophones / Rassemblement wallon,Front Democratique des Francophones / Rassemblement wallon,spec,Special issue,,,,,,,,,,,,,64,60,16
BEL,Belgium,FN,National Front,Front National,Front National,right,Right-wing,9.65497087177478,8.083133948476684,9.138158095510395,1.553884870127625,,,1056710,,,,4943,115,64,171,40
BEL,Belgium,FW,Walloon Front,Front Wallon,Front Wallon,code,to be coded,,,,,,,,,,,,,64,580,28
BEL,Belgium,FWT,Walloon Labour Party,Parti Wallon des travailleurs,Parti Wallon des travailleurs,com,Communist/Socialist,,,,,,,,,,,,,64,1564,14
BEL,Belgium,ID21,Integral Democracy for the 21th Century,Integrale Democratie voor de 21ste Eeuw / Vernieuwingsbeweging – Démocratie intégrale pour le 21e siècle / Mouvement du renouveau,Integrale Democratie voor de 21ste Eeuw / Vernieuwingsbeweging -- Democratie integrale pour le 21e siecle / Mouvement du renouveau,lib,Liberal,5.14285707473755,5.14285707473755,4,6.041666666666667,21915,,,,,,,114,64,1340,6
BEL,Belgium,KLS,Cartel of Liberals and Socialists,Kartel Liberale en Socialistische,Kartel Liberale en Socialistische,all,electoral alliance,,,,,,,,,,,,,64,1335,27
BEL,Belgium,KPB-PCB,Communist Party,Kommunistische Partij – Parti Communiste,Kommunistische Partij -- Parti Communiste,com,Communist/Socialist,1.4,,,4.45,,,,301,,101,,,64,708,14
BEL,Belgium,LC,Catholics Lists,Listes catholiques,Listes catholiques,spec,Special issue,,,,,,,,,,,,,64,1268,16
BEL,Belgium,LD,List Dedecker,Lijst Dedecker,Lijst Dedecker,lib,Liberal,,,,,,14,1056600,,,,,,64,221,6
BEL,Belgium,LP-PL,Liberal Party,Liberale Partij – Parti libéral,Liberale Partij -- Parti liberal,lib,Liberal,,,,,21420,,,,,,,,64,63,6
BEL,Belgium,MCC,Citizens' Movement for Change,Mouvement des Citoyens pour le Changement,Mouvement des Citoyens pour le Changement,chr,Christian democracy,5.57142877578735,5.80000019073486,5.80000019073486,9.047618707021083,,,,,,,,113,64,656,3
BEL,Belgium,MR,Reformist Movement,Mouvement Réformateur,Mouvement Reformateur,lib,Liberal,6.688912228835253,7.193421052631579,4.210150384902954,8.30030231308519,21422,22,1056427,310,,,4983,106,64,915,6
BEL,Belgium,N-VA,New Flemish Alliance,Nieuw-Vlaamse Alliantie,Nieuw-Vlaamse Alliantie,con,Conservative,6.532149159987299,5.880921052631579,6.059999949806619,6.424335882621898,21913,15,1056913,309,407,110,5003,110,64,501,26
BEL,Belgium,PA/PT,Workers' Party of Belgium,Partij van de Arbeid – Parti du Travail de Belgique,Partij van de Arbeid -- Parti du Travail de Belgique,com,Communist/Socialist,,,,,,17,1056222,,,,,,64,256,14
BEL,Belgium,PL,Brussels Liberal Party,Parti Libéral,Parti Liberal,lib,Liberal,,,,,21424,,,,,,,,64,640,6
BEL,Belgium,PRL,Liberal Reformist Party,Parti Réformateur Libéral,Parti Reformateur Liberal,lib,Liberal,6.855111079321968,7.266666666666667,4.4380952835083,9.08564805984497,21422,,,310,409,107,,106,64,454,6
BEL,Belgium,PRL/FDF,Liberal Reformation Party / Francophone Democratic Front,Parti Réformateur Libéral / Front Démocratique des Francophones,Parti Reformateur Liberal / Front Democratique des Francophones,all,electoral alliance,6.562222169240316,7.266666666666667,4.4380952835083,9.003086302015516,21423,,,,,,,106,64,168,27
BEL,Belgium,PS,Francophone Socialist Party,Parti Socialiste,Parti Socialiste,soc,Social democracy,2.9306530386383773,2.5938001492148945,3.1712374626962765,8.146506585572899,21322,24,1056322,302,403,102,5023,102,64,1378,11
BEL,Belgium,PSC,Francophone Christian Social Party,Parti Social Chrétien,Parti Social Chretien,chr,Christian democracy,5.497417138194483,5.371107973801462,6.640917057489097,8.779485156745238,21522,21,1056522,308,405,108,4903,108,64,1192,3
BEL,Belgium,PSC-CVP,Francophone Christian Social Party and Flemish Christian People's Party,Parti Social Chrétien – Christelijke Volkspartij,Parti Social Chretien -- Christelijke Volkspartij,chr,Christian democracy,,,,,21520,,,,,,,,64,1051,3
BEL,Belgium,PSI,Independent Socialists,Parti social indépendant,Parti social independant,com,Communist/Socialist,,,,,,,,,,,,,64,790,14
BEL,Belgium,PVV,Party of Liberty and Progress,Partij voor Vrijheid en Vooruitgang,Partij voor Vrijheid en Vooruitgang,lib,Liberal,7.005274864397552,7.763921581067539,3.7139445380160683,8.754853708032979,21421,16,1056421,311,,106,5083,107,64,1110,6
BEL,Belgium,Pp,People's Party,Parti populaire,Parti populaire,con,Conservative,,,,,,,,,,,,,64,438,26
BEL,Belgium,ROSSEM,Radical Reformers Fighting for an Upright Society,Radikale Omvormers Strijdersen Stubbelaars vor Maatschappij,Radikale Omvormers Strijdersen Stubbelaars vor Maatschappij,lib,Liberal,,,,,,,,,,113,,,64,748,6
BEL,Belgium,RW,Walloon Rally,Rassemblement Wallon,Rassemblement Wallon,spec,Special issue,2.6,,,,21911,,,303,,,,,64,460,16
BEL,Belgium,RvA-UpD,Respect for Labour,Respect voor Arbeid en Democratie – Union pour la Democratie et le Respect du Travail,Respect voor Arbeid en Democratie -- Union pour la Democratie et le Respect du Travail,right,Right-wing,9.2,,,,,,,312,,,,,64,1440,40
BEL,Belgium,SLP,Social Liberal Party,Sociaal-Liberale Partij,Sociaal-Liberale Partij,lib,Liberal,,,,,,20,1056328,,,,,,64,1487,6
BEL,Belgium,SP,Socialist Party,Socialistische Partij,Socialistische Partij,soc,Social democracy,3.2458993196673323,3.018269472624126,3.0805492099962737,7.902317853894148,21321,18,1056327,304,404,103,5043,103,64,1029,11
BEL,Belgium,SPA/Spirit,Socialist Party Different / Social Liberal Party,Socialistische Partij Anders / Sociaal-Liberale Partij,Socialistische Partij Anders / Sociaal-Liberale Partij,all,electoral alliance,3.2549600906121094,3.018269472624126,3.0805492099962737,7.657063984034352,21321,,,,,,5043,103,64,1113,27
BEL,Belgium,UDB,Belgian Democratic Union,Union Democratique Belge,Union Democratique Belge,code,to be coded,,,,,,,,,,,,,64,1181,28
BEL,Belgium,V,Alive,Vivant,Vivant,lib,Liberal,,,,,,,,,,,,,64,620,6
BEL,Belgium,VB,Flemish Block,Vlaams Blok,Vlaams Blok,right,Right-wing,9.662160601164166,7.6950000250966974,9.523421052631578,2.7560039674190064,21914,19,1056711,313,,112,5063,112,64,993,40
BEL,Belgium,VLD/V,Flemish Liberals and Democrats / Alive,Vlaamse Liberalen en Democraten / Vivant,Vlaamse Liberalen en Democraten / Vivant,all,electoral alliance,7.005274864397552,7.763921581067539,3.7139445380160683,8.754853708032979,21421,16,1056421,311,,106,5083,107,64,1626,27
BEL,Belgium,VU,People's Union,Volksunie,Volksunie,right,Right-wing,6.532149159987299,5.880921052631579,6.059999949806619,6.424335882621898,21913,,,309,407,110,5003,110,64,290,40
BEL,Belgium,WOW,Growing old in dignity,Waardig ouder worden,Waardig ouder worden,spec,Special issue,,,,,,,,,,,,,64,470,16
BEL,Belgium,etc,others,others,others,none,no family,,,,,,,,,,,,,64,479,12
BEL,Belgium,no-seat,no seats,no seats,no seats,none,no family,,,,,,,,,,,,,64,2052,12
BEL,Belgium,none,no party affiliation,no party affiliation,no party affiliation,none,no family,,,,,,,,,,,,,64,1458,12
BGR,Bulgaria,ATA,National Union Attack,Natsionalen S?yuz Ataka,Natsionalen Sayuz Ataka,right,Right-wing,5.46,3.25,9.17,2.433333333333333,,27,1100700,,,,,2007,10,535,40
BGR,Bulgaria,BBB,Bulgarian Business Bloc,Balgarski Biznes Blok,Balgarski Biznes Blok,none,no family,6.678362673486179,7.0760235033537375,5.197368421052632,7.684210727089316,80901,,,,708,,737,,10,599,12
BGR,Bulgaria,BC,Blue Coalition,Sinyata koalitsia,Sinyata koalitsia,all,electoral alliance,,,,,,,1100001,,,,,,10,1254,27
BGR,Bulgaria,BKP,Communist Party of Bulgaria,Komunisticeska Partija na Balgarija,Komunisticeska Partija na Balgarija,com,Communist/Socialist,0.3684210596028827,1.7368422056499262,7.828947368421052,2.8654971875642476,,,,,701,,763,,10,1570,14
BGR,Bulgaria,BNRP,Bulgarian National Radical Party,Balgarska Natsionalna Radikalna Partiya,Balgarska Natsionalna Radikalna Partiya,right,Right-wing,,,,,,,,,,,,,10,364,40
BGR,Bulgaria,BNS,Bulgarian People's Union,Balgarski Naroden Sajuz,Balgarski Naroden Sajuz,all,electoral alliance,5.8,6,5.44,8.333333333333334,80811,,,,,,,2009,10,1375,27
BGR,Bulgaria,BSP,Bulgarian Socialist Party,B?lgarska Socialisti?eska Partija,Balgarska Sotsialisticheska Partiya,com,Communist/Socialist,3.00637956251178,2.918660264266163,4.5029238650673316,8.187134391383106,80220,26,1100300,,702,,841,,10,982,14
BGR,Bulgaria,DG,George's Day Movement,Dvizhenie Gergyovden,Dvizhenie Gergyovden,right,Right-wing,6.315789473684211,6.105263358668263,2.8289473684210527,8.315789072137106,,,,,,,920,,10,1362,40
BGR,Bulgaria,DL,Democratic Left,Democratichnata Levitsa,Democratichnata Levitsa,all,electoral alliance,3.00637956251178,2.918660264266163,4.5029238650673316,8.187134391383106,80229,,,,702,,841,,10,603,27
BGR,Bulgaria,DP,Democratic Party,Demokraticheska partia,Demokraticheska partia,none,no family,9.444444444444445,,,,,,,,709,,,,10,542,12
BGR,Bulgaria,DPS,Movement for Rights and Freedoms,Dvizhenie za prava i svobodi,Dvizhenie za prava i svobodi,none,no family,4.582791053370427,4.412998420313785,6.229025378310895,9.009356658221689,80951,31,1100900,,,,894,2004,10,1286,12
BGR,Bulgaria,DSB,Democrats for a Strong Bulgaria,Demokrati za Silna Balgarija,Demokrati za Silna Balgarija,con,Conservative,7.85,7.83,4.5,8.966666666666667,,28,1100001,,,,,2008,10,57,26
BGR,Bulgaria,DSH,Movement for Social Humanism,Dvizhenie za sotsialen humanizam,Dvizhenie za sotsialen humanizam,lib,Liberal,,,,,,,,,,,,,10,1664,6
BGR,Bulgaria,GERB,Citizens for European Development of Bulgaria,Grazhdani za evropeysko razvitie na Balgariya,Grazhdani za evropeysko razvitie na Balgariya,con,Conservative,,,,,,29,1100600,,,,,,10,1541,26
BGR,Bulgaria,GOR,"Civil Union ""Roma""","Graždansko Obedinenie ""Roma""","Grazdansko Obedinenie ""Roma""",eth,Ethnic,,,,,,,,,,,,,10,1663,17
BGR,Bulgaria,KE,Euroleft Coalition,Koalicija Evrolevica,Koalicija Evrolevica,soc,Social democracy,,,,,80320,,,,,,,,10,710,11
BGR,Bulgaria,KSII,Simeon II Coalition,Koalitsiya Simeon II,Koalitsiya Simeon II,none,no family,6.86,6.29,6.33,7.783333333333334,,,,,,,,2006,10,15,12
BGR,Bulgaria,KzB,Coalition for Bulgaria,Koalicija za Balgarija,Koalicija za Balgarija,all,electoral alliance,2.79,2.9850000000000003,6.359999999999999,8.866666666666667,80221,,1100300,,,,,2003,10,1160,27
BGR,Bulgaria,LR,Lider,Lider,Lider,code,to be coded,,,,,,,,,,,,,10,566,28
BGR,Bulgaria,NAPRED,FORWARD,NAPRED,NAPRED,none,no family,,,,,,,1100002,,,,,,10,1174,12
BGR,Bulgaria,NDSV,National Movement Simeon II,Natsionalno Dvizhenie Simeon Vtori,Natsionalno Dvizhenie Simeon Vtori,none,no family,5.756746487533842,5.894848424008018,4.007992165548759,9.346783625730994,80902,32,1100400,,,,946,2001,10,544,12
BGR,Bulgaria,NOTS,National Union for Tzar Simeon II,Natsionalno Obedinenie za Tsar Simeon II,Natsionalno Obedinenie za Tsar Simeon II,code,to be coded,,,,,,,,,,,,,10,2108,28
BGR,Bulgaria,ODS,United Democratic Forces,Obedineni Demokratichni Sili,Obedineni Demokratichni Sili,none,no family,6.961132410618294,6.916953687165912,3.8431383922643825,9.742689924630497,80411,,,,706,,972,2002,10,784,12
BGR,Bulgaria,ONS,Union for National Salvation,Obedinenie za Nacionalno Spasenie,Obedinenie za Nacionalno Spasenie,none,no family,,,,,80952,,,,,,,,10,996,12
BGR,Bulgaria,OT,Union for the King,Obedinenie za Tsarya,Obedinenie za Tsarya,none,no family,,,,,,,,,,,,,10,1149,12
BGR,Bulgaria,PBSD,Party of Bulgarian Social Democrats,Partiya balgarski sotsialdemokrati,Partiya balgarski sotsialdemokrati,soc,Social democracy,,,,,,,,,,,,,10,1161,11
BGR,Bulgaria,PDS,"Political Movement ""Social Democrats""","Politicesko Dviženie ""Socialdemokrati""","Politicesko Dvizenie ""Socialdemokrati""",soc,Social democracy,,,,,,,,,,,,,10,237,11
BGR,Bulgaria,PKE,"Political Club ""Ecoglasnost""","Politicheski klub ""Ekoglasnost""","Politicheski klub ""Ekoglasnost""",eco,Green/Ecologist,,,,,80110,,,,,,,,10,1548,19
BGR,Bulgaria,PPS,"Order, Law and Justice","Porz?dek, Prawo i Sprawiedliwo??","Porzadek, Prawo i Sprawiedliwosc",right,Right-wing,,,,,,,1100601,,,,,,10,636,40
BGR,Bulgaria,PSD,Party of Bulgarian Social Democrats,Partija Balgarski Socialdemokrati,Partija Balgarski Socialdemokrati,soc,Social democracy,3.7777778781645486,4.6315790477551895,3.4210526315789473,9.000000200773528,,,,,703,,815,,10,1459,11
BGR,Bulgaria,SDS,Union of Democratic Forces-Liberal,Sayuz na Demokratichni Sili-Liberal,Sayuz na Demokratichni Sili-Liberal,chr,Christian democracy,6.111111111111111,,,,80410,33,,,707,,,,10,423,3
BGR,Bulgaria,TBF,Kingdom of Bulgaria Confederation,Tsarstvo Balgariya Federatsiya,Tsarstvo Balgariya Federatsiya,none,no family,,,,,,,,,,,,,10,800,12
BGR,Bulgaria,UFD,Union of Free Democrats,Sajuz na svobodnite demokrati,Sajuz na svobodnite demokrati,lib,Liberal,6.842105263157895,,5.2631578947368425,10,,,,,,,998,,10,1060,6
