country_name_short,country_name,party_name_short,party_name_english,party_name,party_name_ascii,family_name_short,family_name,left_right,state_market,liberty_authority,eu_anti_pro,cmp,euprofiler,ees,castles_mair,huber_inglehart,ray,benoit_laver,chess,country_id,party_id,family_id
ROU,Romania,PNL,National Liberal Party,Partidul Na?ional Liberal,Partidul National Liberal,lib,Liberal,6.054298231671432,7.245,3.5473684210526315,9.607894736842105,93430,249,1642401,,3201,,3252,2705,23,1015,6
ROU,Romania,PNL-C,National Liberal Party Campeanu,Partidul National Liberal Campeanu,Partidul National Liberal Campeanu,lib,Liberal,,,,,,,,,,,,,23,2041,6
ROU,Romania,PNL-CD,National Liberal Party -- Democratic Convention,Partidul Na?ional Liberal – Conven?ia Democrat?,Partidul National Liberal -- Conventia Democratica,con,Conservative,,,,,,,,,,,,,23,2088,26
ROU,Romania,PNT-CD,Christian-Democratic National Peasants' Party,Partidul Na?ional ??r?nesc Cre?tin Democrat,Partidul National Taranesc Crestin Democrat,chr,Christian democracy,5.534055609452105,4.939271023398947,6.842105263157895,8.81578947368421,93521,,1642800,,3205,,3278,,23,888,3
ROU,Romania,PPR,Party of Pensioners of Romania,Partidul Pensionarilor din Romania,Partidul Pensionarilor din Romania,spec,Special issue,,,,,,,,,,,,,23,2106,16
ROU,Romania,PRM,Greater Romania Party,Partidul România Mare,Partidul Romania Mare,right,Right-wing,6.661837746246521,2.1497165927552335,9.513070175438596,4.9488304093567255,93712,251,1642700,,3209,,3304,2703,23,713,40
ROU,Romania,PS,Socialist Party,Partidul Socialist,Partidul Socialist,com,Communist/Socialist,,,,,,,,,,,,,23,2104,14
ROU,Romania,PSD,Social Democratic Party,Partidul Social Democrat,Partidul Social Democrat,soc,Social democracy,3.2324561264082696,2.4517543859649122,6.279370406301403,8.645923534192544,93320,252,1642300,,3202,,3330,2701,23,1120,11
ROU,Romania,PSD+PUR,National Union PSD+PUR,Uniunea Na?ional? PSD+PUR,Uniunea Nationala PSD+PUR,soc,Social democracy,,,,,,,,,,,,,23,1291,11
ROU,Romania,PSD/PC,Social Democratic Party / Conservative Party Alliance,Alian?a Politic? Partidul Social Democrat / Partidul Conservator,Alian?a Politic? Partidul Social Democrat / Partidul Conservator,all,electoral alliance,,,,,,252,1642300,,,,,,23,1341,27
ROU,Romania,PSDR,Romanian Social Democratic Party,Partidul Social Democrat Român,Partidul Social Democrat Roman,soc,Social democracy,,,,,,,,,,,,,23,1601,11
ROU,Romania,PSM,Socialist Party of Labour,Partidul Socialist al Muncii,Partidul Socialist al Muncii,com,Communist/Socialist,5.555555555555555,,,,93713,,,,3210,,,,23,562,14
ROU,Romania,PSMR,Romanian Socialist Party of Workers,Partidul Socialist Muncitoresc Roman,Partidul Socialist Muncitoresc Roman,com,Communist/Socialist,,,,,,,,,,,,,23,2105,14
ROU,Romania,PSoDR,Romanian Socialist Democratic Party,Partidul Socialist Democrat Român,Partidul Socialist Democrat Roman,com,Communist/Socialist,,,,,93222,,,,,,,,23,307,14
ROU,Romania,PUNR,Romanian National Unity Party,Partidul Unitatii Na?ionale a Romanilor,Partidul Unit??ii Na?ionale a Românilor,right,Right-wing,5.555555555555555,,,,93711,,,,3208,,,,23,648,40
ROU,Romania,PaRe,Republican Party,Partidul Republican,Partidul Republican,code,to be coded,,,,,,,,,,,,,23,2098,28
ROU,Romania,PaRo,Party of the Roma,Partida Romilor,Partida Romilor,eth,Ethnic,,,,,,,,,,,,,23,254,17
ROU,Romania,UDMR,Democratic Union of Hungarians in Romania,Uniunea Democrat? Maghiar? din România,Uniunea Democratica Maghiara din Romania,eth,Ethnic,6.016023336042439,5.982543859649122,3.8812865106683034,9.480099857620322,93951,253,1642900,,,,3382,2706,23,948,17
ROU,Romania,UNPR,National Union for the Progress of Romania,Uniunea Na?ional? pentru Progresul României,Uniunea Na?ionala pentru Progresul Romaniei,soc,Social democracy,,,,,,,,,,,,,23,2002,11
ROU,Romania,etc,others,others,others,none,no family,,,,,,,,,,,,,23,441,12
ROU,Romania,etnice,Romanian ethnic minorities parties,Partidele minorit??ilor etnice din România,Partidele minoritatilor etnice din Romania,eth,Ethnic,,,,,,,,,,,,,23,425,17
ROU,Romania,none,no party affiliation,no party affiliation,no party affiliation,none,no family,,,,,,,,,,,,,23,761,12
ROU,Romania,todo,to be coded,to be coded,to be coded,none,no family,,,,,,,,,,,,,23,429,12
SVK,Slovakia,99%,99 Percent – Civic Voice,99% – ob?iansky hlas,99% – obciansky hlas,com,Communist/Socialist,,,,,,,,,,,,,1,2015,14
SVK,Slovakia,ANO,Alliance for a New Citizen,Aliancia Nového Ob?ana,Aliancia Noveho Obcana,lib,Liberal,7.240448857357632,7.945046675832659,1.9712383937835685,9.471388117472323,96424,,,,,,3850,2806,1,1200,6
SVK,Slovakia,AdS,Alliance of Democrats,Aliancia demokratov Slovenska,Aliancia demokratov Slovenska,code,to be coded,,,,,96431,,,,,,,,1,1624,28
SVK,Slovakia,CDS,Conservative Democrats of Slovakia,Konzervatívni demokrati Slovenska,Konzervatívni demokrati Slovenska,con,Conservative,,,,,,,,,,,,,1,2023,26
SVK,Slovakia,DS,Democratic Party,Demokratická strana,Demokraticka strana,chr,Christian democracy,,,,,96420,,,,,,,,1,1000,3
SVK,Slovakia,DuS,Democratic Union,Demokratická únia Slovenska,Demokraticka unia Slovenska,lib,Liberal,,,,,96421,,,,,,,,1,1495,6
SVK,Slovakia,ESWS,Hungarian Christian Democratic Movement,Együttélés-Spolužitie-Wspólnota-Soužití,Egyutteles-Spoluzitie-Wspolnota-Souziti,spec,Special issue,6.666666666666667,,,,96952,,,,3407,,,,1,738,16
SVK,Slovakia,HZDS,Movement for a Democratic Slovakia,Hnutie za demokratické Slovensko,Hnutie za Demokraticke Slovensko,con,Conservative,4.891420693871572,4.819907150268562,5.91606819018983,7.285500496312193,96711,255,1703711,,3403,,3876,2801,1,1142,26
SVK,Slovakia,KDH,Christian Democratic Movement,Kres?anskodemokratické hnutie,Krest'anskodemokraticke hnutie,chr,Christian democracy,7.108209064327486,6.969824561403509,8.821733864232105,6.69982798169231,96521,254,1703521,,3405,,3902,2805,1,1432,3
SVK,Slovakia,KSS,Communist Party of Slovakia,Komunistická strana Slovenska,Komunisticka strana Slovenska,com,Communist/Socialist,0.5274922625223789,0.9369556440386859,4.530175405134235,3.5074990612721586,96222,,1703222,,,,3928,2807,1,44,14
SVK,Slovakia,KSU,Christian Social Union,Krest’anská sociálna únia Slovenska,Krest’anská sociálna únia Slovenska,chr,Christian democracy,6.666666666666667,,,,,,,,3406,,,,1,936,3
SVK,Slovakia,LsNS,People's Party our Slovakia,?udová strana Naše Slovensko,Ludova strana Nase Slovensko,right,Right-wing,,,,,,,,,,,,,1,586,40
SVK,Slovakia,Lu/Ls,People's Union -- Liberal Party,Ludová únia – Liberálna strana,Ludova unia -- Liberálna strana,con,Conservative,7.368421052631579,5.2631578947368425,6.315789473684211,9.473684210526315,,,,,,,3954,,1,1615,26
SVK,Slovakia,MH,Most-Hid,MOST-HID,MOST-HÍD,eth,Ethnic,,,,,,,,,,,,,1,1620,17
SVK,Slovakia,Nds,National Democratic Party,Národno-demokratická strana,Narodno-demokraticka strana,code,to be coded,,,,,96712,,,,,,,,1,1228,28
SVK,Slovakia,OKS,Civic Conservative Party,Obcianska konzervatívna strana,Obcianska konzervatIvna strana,con,Conservative,8.421052631578947,8.421052631578947,8.421052631578947,2.6315789473684212,,,,,,,3977,,1,1645,26
SVK,Slovakia,OL,Ordinary People,Oby?ajní ?udia,Obycajni Ludia,con,Conservative,,,,,,,,,,,,,1,1759,26
SVK,Slovakia,PSNS,Right Slovak National Party,Pravá Slovenská národná strana,Prava Slovenska narodna strana,right,Right-wing,8.5,3.75,8.62,3.4499999999999997,,,,,,,,2808,1,20,40
SVK,Slovakia,SDK,Slovak Democratic Coalition,Slovenská demokratická koalícia,Slovenska demokraticka koalicia,chr,Christian democracy,7.1899999999999995,7.77,4.02,9.225000000000001,96522,,,,,,,2802,1,313,3
SVK,Slovakia,SDKU,Slovak Democratic and Christian Union,Slovenská demokratická a kres?anská únia,Slovenska Demokraticka a Krestanska Unia,chr,Christian democracy,7.359122807017544,7.440061899820964,5.043261172645965,9.390454155102105,96523,,,,,,4079,2802,1,1364,3
