"","elect.uid","country","year","election_date","n.parties","p.crash.tm1","p.crash.tp1","s.crash.tm1","s.crash.tp1","c.location.mean.tm1","c.location.max.tm1","c.location.min.tm1","c.location.mean.tp1","c.location.max.tp1","c.location.min.tp1","share.v.crash.tm1","share.v.crash.tp1","np.vote","NP.d","S.NP.d","NP.n","S.NP.n","np.location.min","np.location.max","np.location.mean","uid"
"38",38,"Australia","1996","1996-03-02",6,0,1,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,"Australia1996"
"39",39,"Australia","1998","1998-10-03",6,0,0,0,0,0,0,0,0,0,0,0,0,8.4,1,0,1,0,3.1578947368421,3.1578947368421,3.1578947368421,"Australia1998"
"40",40,"Australia","2001","2001-11-10",7,0,1,0,0.250645994832041,0,0,0,2.22875241991605,3.1578947368421,1.29961010298999,0,9.7,0,0,0,0,0,0,0,0,"Australia2001"
"41",41,"Australia","2004","2004-10-09",8,1,1,0.250645994832041,0,2.22875241991605,3.1578947368421,1.29961010298999,2.22875241991605,3.1578947368421,1.29961010298999,9.7,2.7,2,1,0,1,0,0,0,0,"Australia2004"
"42",42,"Australia","2007","2007-11-24",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Australia2007"
"43",43,"Australia","2010","2010-08-21",7,0,-Inf,0,0,0,0,0,0,0,0,0,0,9.12,1,1,1,1,0,0,0,"Australia2010"
"44",44,"Austria","1945","1945-10-25",3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1.27073099415205,4.5,2.41468322527107,"Austria1945"
"45",45,"Austria","1949","1949-10-09",4,0,0,0,0,0,0,0,0,0,0,0,0,11.7,1,1,1,1,1.8,1.8,1.8,"Austria1949"
"46",46,"Austria","1953","1953-02-22",6,0,1,0,0,0,0,0,1.8,1.8,1.8,0,10.9,10.9,1,1,2,1,1.8,1.8,1.8,"Austria1953"
"47",47,"Austria","1956","1956-05-13",4,0,0,0,0,0,0,0,0,0,0,0,0,6.5,1,1,1,1,3.34936648762947,3.34936648762947,3.34936648762947,"Austria1956"
"48",48,"Austria","1959","1959-05-10",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Austria1959"
"49",49,"Austria","1962","1962-11-18",4,0,1,0,0,0,0,0,4.5,4.5,4.5,0,3,0,0,0,0,0,0,0,0,"Austria1962"
"50",50,"Austria","1966","1966-03-06",4,0,1,0,0,0,0,0,0,0,0,0,3.28,3.28,1,0,1,0,0,0,0,"Austria1966"
"51",51,"Austria","1970","1970-03-01",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Austria1970"
"52",52,"Austria","1971","1971-10-10",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Austria1971"
