id;elmonth;nr_ele;cntry;country;year;mixed;yearsdem;pub_fin_new;fsu;gdp_grow;dismag;dismag2;threshold;enp;turnout;turn_chan;np5;np3;vote_new;vanhanen;deposit;petition;unemp;nongov;against;president;yearsdem2;ln_yearsdem;inflation_index;inflation;Federal;Corruption_cpi;Corruption_wb;Inelastic_vote;System_polarization;polarization;System_polarization_new;Available_issues_new;Available_issues_full;Available_issues;Organizational_strength;Source notes;gap;Signatures needed;population
1;7;6;1;Albania;2005;1;15;1;0;5,759200997;11,1;1,00;2,5;2,800248623;48,73403135;-6,211115931;5;5;17,8892072;40;0;0,127334465;14,1;1;0;2;225;2,70805;2.300,05;2,36300;0,00;2,50;-0,67;58,75;;13,4040485;;;;;;elmonth, nr_ele, year, mixed, yearsdem, threshold: Nohlen ;;300;
2;6;7;1;Albania;2009;1;19;1;0;3,315274507;11,1;11,67;2,5;3,012311316;50,76519977;2,03116842;1;3;1,606265502;40;0;0,13239188;13,615;2;0;2;361;2,944439;2.560,83;2,22300;0,00;3,40;-0,55;;;;;;;;;elmonth, nr_ele, year, mixed, yearsdem, threshold: Nohlen ;;300;
3;7;1;2;Armenia;1995;1;0;;1;8,032870429;24,5;1,00;5;;53,91437004;;10;10;37,07396707;12;1;;3,037;;1;6;0;;100;176,74300;0,00;;;;1,626523992;;211,905581100;;;;;;;;
4;5;2;2;Armenia;1999;1;4;1;1;5,46999979;24,5;1,00;5;4,601195812;51,72000122;-2,19436882;10;10;25,58557442;12;1;13,64877033;9,300000191;;1;6;16;1,386294365;148,007;0,64800;0,00;;-0,74;;0,007746283;211,9055810;16,209589940;0,3214285714;0,6090909091;0,3207547170;;;;;
5;5;3;2;Armenia;2003;1;8;1;1;9,600000381;62,15000153;1,00;5;8,19008255;52,20999908;0,48999786;8;9;17,22999954;12;1;12,89214039;10,30000019;8;0;6;64;2,079441547;160,279;4,70400;0,00;;-0,65;;;16,2095900;233,653581600;0,1964285714;0,5636363636;0,1886792453;;;;;
6;10;6;3;Bosnia and Herzegovina;2006;0;16;0;0;5,958880242;42;5,60;5;8,898350716;54,93587233;-0,51881635;2;2;6;112;1;2,824858757;31,096;5;0;;256;2,772589;122,056;6,12600;1,00;2,90;-0,20;;;70,8315324;;0,2678571429;0,4545454545;0,2830188679;;elmonth, nr_ele, year, mixed, yearsdem, threshold: Nohlen ;;10000;
7;10;7;3;Bosnia and Herzegovina;2010;0;20;0;0;0,72058453;42;5,60;5;7,560293339;56,48526561;1,54939328;1;1;9,2;112;1;3,322259136;27,202;6;0;;400;2,995732;135,396;2,12300;1,00;3,00;-0,37;;;;;;;;;elmonth, nr_ele, year, mixed, yearsdem, threshold: Nohlen ;;10000;
8;10;2;4;Bulgaria;1991;0;1;0;0;-2,150000095;7,699999809;7,74;4;4,156002045;83,87000275;-6,920000076;9;9;13,18999958;27;0;0,0073638;1,700000048;7;0;3;1;;0,22;333,50000;0,00;;;;1,318600157;6,4095821;41,510131000;0,2500000000;0,5272727273;0,2641509434;;;;;
9;12;3;4;Bulgaria;1994;0;4;0;0;-6,269999981;7,699999809;7,74;4;3,833615065;75,23000336;-8,640000343;4;4;3,339999914;27;0;0,0071459;13,69999981;8;0;3;16;1,386294365;1,356;96,00000;0,00;;;;0,949702529;41,5101310;160,607452800;0,1607142857;0,4727272727;0,1320754717;;;;;
10;4;4;4;Bulgaria;1997;0;7;0;0;2,269999981;7,699999809;7,74;4;3,249373913;58,86999893;-16,36000061;2;3;6,559999943;27;0;0,0068597;15;6;0;3;49;1,945910096;56,903;1061,20600;0,00;;-0,78;;1,423112867;119,0973218;27,777089110;0,1250000000;0,3454545455;0,1132075472;;;;;
11;6;5;4;Bulgaria;2001;0;11;0;0;2,00999999;7,699999809;7,74;4;3,938376904;66,76999664;7,900000095;5;6;52,63000107;27;0;0,0072296;17,29999924;4;0;3;121;2,397895336;82,038;7,36500;0,00;3,50;-0,21;42,71;-0,155542590;27,7770891;87,651573510;0,1964285714;0,3727272727;0,1698113208;;;;5000;
12;6;6;4;Bulgaria;2005;0;15;0;0;0,600000024;7,699999809;7,74;4;5,20;55,75999832;-11,01000023;5;8;20,30973278;27;1;0,832639467;12,69999981;5;0;3;225;2,70805;100;6,04100;0,00;4,10;0,10;;-0,573909636;87,6515735;161,882671000;0,2500000000;0,5636363636;0,2264150943;;;;5000;
13;7;7;4;Bulgaria;2009;0;19;0;0;-5,476525264;7,74;1,00;4;4,39;60,63958238;4,87958406;3;3;43,49722232;27;1;0,83766125;6,878;4;0;3;361;2,944439;132,557;2,47200;0,00;3,60;-0,30;;0,970605050;161,8826710;69,871673770;0,1964285714;0,5090909091;0,1886792453;;elecyear, month: parline;;15000;
14;8;1;5;Croatia;1992;0;0;;0;;;1,00;5;4,055709222;75,60940658;;4;4;10,24584511;45;0;0,027839644;15,253;0;0;6;0;;2,173;;0,00;;;;3,701170142;30,6963727;154,394775500;0,2857142857;0,5636363636;0,2075471698;;year, month: Parline;;;4789000
15;10;2;5;Croatia;1995;0;3;;0;6,633971573;13,10000038;1,00;5;3,821607368;68,79030596;-6,81910062;3;3;5,977147103;45;0;0,02886836;14,5;6;0;6;9;1,098612;70,768;1,97200;0,00;;;;2,717589205;154,3947755;374,935608000;0,0892857143;0,4272727273;0,0943396226;;year, month: Parline;;500;4778000
16;1;3;5;Croatia;2000;0;8;;0;4,178836107;13,10000038;14,00;5;3,94467981;76,54628643;7,75598047;4;4;4,430953975;45;0;0,028694405;16,077;5;0;6;64;2,079441547;88,333;4,62900;0,00;2,70;-0,72;;1,988661017;374,9356080;129,535405800;0,1071428571;0,4636363636;0,1132075472;;year, month: Parline;;500;4460000
17;11;4;5;Croatia;2003;0;11;0;0;5,370452215;13,10000038;14,00;5;5,403711269;61,65077248;-14,89551395;1;1;1,003321141;45;0;0,028555111;14,282;3;0;4;121;2,397895336;94,842;1,77100;0,00;3,80;0,25;;0,017138401;129,5354058;315,601603200;0,1250000000;0,3636363636;0,0943396226;;year, month: Parline;;500;4428000
18;11;5;5;Croatia;2007;0;15;0;0;5,06020135;12,69999981;14,00;5;4,381743908;59,5808289;-2,06994358;1;1;1,797144383;45;0;0,028113579;9,412;2;0;4;225;2,70805;106,175;2,87400;0,00;3,40;0,09;35,33;-0,453996131;315,6016032;73,809143490;0,2678571429;0,5000000000;0,2264150943;;year, month: Parline;;;
19;12;6;5;Croatia;2011;0;19;0;0;-4,69E-02;13,39000034;14,00;5;3,868127787;54,16558713;-5,41524177;3;3;10,88986762;45;0;0,027092929;13,681;2;0;4;361;2,944439;119,133;2,26000;0,00;4,10;-0,03;;-2,226966695;73,8091435;84,588246540;0,2678571429;0,5000000000;0,2264150943;;year, month: Parline;;;
20;6;2;6;Czech Republic;1992;0;2;0;0;4,46999979;25;12,50;5;7,300518036;85,08000183;-11,71000004;9;9;29,68000031;7;1;1,291489005;4,300000191;6;0;2;4;0,693147182;;;0,00;;;;1,931052690;122,4017482;59,190425560;0,1964285714;0,4636363636;0,2075471698;;;;;
21;6;3;6;Czech Republic;1996;0;6;0;0;-0,059999999;25;25,00;5;5,326814175;76,29000092;-8,789999962;1;1;2,799999952;7;1;1,25156498;3,900000095;9;0;2;36;1,791759491;70,2;8,76700;0,00;;;48,80;0,830420005;59,2776986;72,223532810;0,0535714286;0,3181818182;0,0566037736;;;;;
22;6;4;6;Czech Republic;1998;0;8;0;0;6;25;25,00;5;4,719128132;73,86000061;-2,430000067;1;1;8,600000381;7;1;1,232133985;6,5;7;0;2;64;2,079441547;84,392;10,70200;0,00;5,20;0,65;;0,845662279;72,2235328;209,291406900;0,1071428571;0,3090909091;0,1132075472;;;;;
23;6;5;6;Czech Republic;2002;0;12;0;0;2,940000057;25;14,29;5;4,815292835;57,94850592;-15,85999966;3;4;4,619999886;7;1;1,232133985;8,100000381;8;0;1;144;2,484906673;95,383;1,87800;0,00;3,90;0,08;58,99;0,654257081;209,2914068;441,692614200;0,0714285714;0,2636363636;0,0754716981;;;;;
24;6;6;6;Czech Republic;2006;0;16;0;0;7,020403972;14,28999996;14,29;5;3,91;64,4696072;6,52110128;1;1;0,686262193;7;1;1,232133985;7,148;2;0;1;256;2,772589;102,492;1,84300;0,00;4,30;0,47;34,18;0,004103940;441,6926141;268,594830800;0,0714285714;0,3454545455;0,0754716981;;elmonth, nr_ele, year, mixed, yearsdem, threshold: Nohlen ;;;
25;5;7;6;Czech Republic;2010;0;20;0;0;2,492589637;14,28999996;14,29;5;6,76;62,59702477;-1,87258243;6;6;34,61366479;7;1;1,232133985;7,279;1;0;1;400;2,995732;114,925;1,46400;0,00;4,90;0,38;30,78;-0,260851031;268,5948307;152,4321281;0,1428571429;0,4000000000;0,1132075472;;;;;
26;9;2;7;Estonia;1992;0;2;0;1;2,420000076;9,199999809;;5;8,707052231;67,83999634;-10,35999966;;;;78;1;1,451378942;0,600000024;1;0;2;4;0,693147182;;;0,00;;;;2,464928765;;390,025415100;;;;;;;;
