id;elmonth;nr_ele;cntry;country;year;mixed;yearsdem;pub_fin_new;fsu;gdp_grow;dismag;dismag2;threshold;enp;turnout;turn_chan;np5;np3;vote_new;vanhanen;deposit;petition;unemp;nongov;against;president;yearsdem2;ln_yearsdem;inflation_index;inflation;Federal;Corruption_cpi;Corruption_wb;Inelastic_vote;System_polarization;polarization;System_polarization_new;Available_issues_new;Available_issues_full;Available_issues;Organizational_strength;Source notes;gap;Signatures needed;population
45;10;5;10;Latvia;2002;0;12;0;1;1,090000033;20;20;5;6,773049831;71,51000214;0,50999999;4;6;29,45000076;90;1;0;13,10000038;3;0;1;144;2,484906673;85,581;1,95500;0,00;3,40;-0,29;;-0,579745871;81,7505114;33,426150630;0,1785714286;0,3454545455;0,1509433962;;;;;
46;10;6;10;Latvia;2006;0;16;0;1;11,15395601;20;20;5;7,64;60,97927327;-10,53000214;3;4;3,565514909;90;1;0;6,844;4;0;1;256;2,772589;106,572;6,57100;0,00;4,20;0,33;;;33,4261506;;0,3392857143;0,5909090909;0,3207547170;;elmonth, nr_ele, year, mixed, yearsdem, threshold: Nohlen ;;;
47;10;7;10;Latvia;2010;0;20;0;1;-0,942840306;20;20;5;4,44;64,72389533;3,74462206;3;4;3,063160892;90;1;0;18,678;5;0;1;400;2,995732;137,909;-1,22400;0,00;4,50;0,15;55,92;;;;;;;;;;;
48;9;8;10;Latvia;2011;0;21;0;1;5,472932778;20;20;5;5,153443789;59,48754706;-5,23634827;1;1;21,01443052;90;1;0;16,203;5;0;1;441;3,044522;143,733;4,22300;0,00;4,30;0,14;;;;;;;;;;;;
49;10;2;11;Lithuania;1992;1;2;1;1;2,299999952;35,29999924;1,00;4;3,829268932;75,29000092;3,569999933;;;;32;1;0;1,299999952;3;0;4;4;0,693147182;;;0,00;;;;2,251478247;;106,889073100;;;;;;;;
50;10;3;11;Lithuania;1996;1;6;1;1;-15,96000004;35,29999924;1,00;5;6,975145817;52,91999817;-22,37000084;6;6;11,89000034;32;1;0;17,10000038;8;0;4;36;1,791759491;;;0,00;;;34,30;1,908890110;106,8890731;61,735701940;0,1428571429;0,4636363636;0,1509433962;;;;;
51;10;4;11;Lithuania;2000;1;10;1;1;7,400000095;35,29999924;1,00;5;5,588705063;58,63000107;5,710000038;5;5;23,61000061;32;1;0;14,10000038;8;0;4;100;2,302585125;95,528;1,08100;0,00;3,80;0,03;;-0,290971937;61,7357019;39,299614150;0,1607142857;0,2636363636;0,1509433962;;;;;
52;10;5;11;Lithuania;2004;1;14;1;1;7;35,29999924;1,00;5;5,778254986;46,08000183;-12,55000019;4;4;42,25999832;32;1;0;10,39999962;2;0;4;196;2,639057398;97,41;1,16300;0,00;4,70;0,26;;0,401043448;39,2996142;193,914806000;0,1607142857;0,3545454545;0,1509433962;;;;;
53;10;6;11;Lithuania;2008;1;18;1;1;2,912417447;35,29999924;1,00;5;8,96;32,37261773;-13,71000183;5;5;28,9026745;32;1;0;5,842;2;0;4;324;2,890372;122,006;11,13800;0,00;4,80;0,05;;;193,9148060;;0,1607142857;0,5727272727;0,1509433962;;;;;
54;10;7;11;Lithuania;2012;1;22;1;1;3,616293763;35,29999924;1,00;5;8,311722854;35,90856547;3,53594774;2;3;10,51452263;32;1;0;13,5;0;0;4;484;3,091042;138,12;3,15000;0,00;4,80;0,29;;;;;;;;;;;;
