"","country","year","yrsoffc","prtyin","legelec","mdmh","tensys","liec","eiec","thresh"
"603","Bulgaria",2005,4,4,1,7.69999980926514,15,7,7,4
"607","Bulgaria",2009,4,4,1,7.73999977111816,19,7,7,4
"638","Bahrain",2002,3,NA,1,NA,3,1,2,NA
"642","Bahrain",2006,7,NA,1,1,7,4,2,NA
"646","Bahrain",2010,11,NA,1,1,11,6,2,NA
"651","Bahamas",1977,9,9,1,1,5,7,7,NA
"656","Bahamas",1982,14,14,1,1,14,6,6,NA
"661","Bahamas",1987,19,19,1,1,5,7,7,NA
"666","Bahamas",1992,24,24,1,1,10,7,7,NA
"671","Bahamas",1997,5,5,1,1,15,7,7,NA
"676","Bahamas",2002,5,10,1,1,20,7,7,NA
"681","Bahamas",2007,5,5,1,1,25,7,7,NA
"686","Bahamas",2012,5,5,1,1,30,7,7,NA
"687","Bosnia-Herz",1975,NA,NA,NA,NA,NA,NA,NA,NA
"688","Bosnia-Herz",1976,NA,NA,NA,NA,NA,NA,NA,NA
"689","Bosnia-Herz",1977,NA,NA,NA,NA,NA,NA,NA,NA
"690","Bosnia-Herz",1978,NA,NA,NA,NA,NA,NA,NA,NA
"691","Bosnia-Herz",1979,NA,NA,NA,NA,NA,NA,NA,NA
"692","Bosnia-Herz",1980,NA,NA,NA,NA,NA,NA,NA,NA
"693","Bosnia-Herz",1981,NA,NA,NA,NA,NA,NA,NA,NA
"694","Bosnia-Herz",1982,NA,NA,NA,NA,NA,NA,NA,NA
"695","Bosnia-Herz",1983,NA,NA,NA,NA,NA,NA,NA,NA
"696","Bosnia-Herz",1984,NA,NA,NA,NA,NA,NA,NA,NA
"697","Bosnia-Herz",1985,NA,NA,NA,NA,NA,NA,NA,NA
"698","Bosnia-Herz",1986,NA,NA,NA,NA,NA,NA,NA,NA
"699","Bosnia-Herz",1987,NA,NA,NA,NA,NA,NA,NA,NA
"700","Bosnia-Herz",1988,NA,NA,NA,NA,NA,NA,NA,NA
"701","Bosnia-Herz",1989,NA,NA,NA,NA,NA,NA,NA,NA
"702","Bosnia-Herz",1990,NA,NA,NA,NA,NA,NA,NA,NA
"703","Bosnia-Herz",1991,NA,NA,NA,NA,NA,NA,NA,NA
"704","Bosnia-Herz",1992,NA,NA,NA,NA,NA,NA,NA,NA
"705","Bosnia-Herz",1993,NA,NA,NA,NA,NA,NA,NA,NA
