"","iso2c","country","year","gdp.pc.wdi","cpi.wdi","unempl.wdi","population.wdi","gdp.pc.ppp.wdi","gdp.pct.chg","gdp.pct.chg2"
"1","AT","Austria",1960,935.460426850415,1.94574985572766,NA,7047539,NA,NA,NA
"2","AT","Austria",1961,1031.8150043291,3.54225636863797,NA,7086299,NA,10.3002302088929,NA
"3","AT","Austria",1962,1087.8342434189,4.38178551912416,NA,7129864,NA,5.42919407595013,16.2886437731535
"4","AT","Austria",1963,1167.00053244585,2.70876982933236,NA,7175811,NA,7.27742204346704,13.101721485883
"5","AT","Austria",1964,1269.41258289256,3.86857059597184,NA,7223801,NA,8.77566441482854,16.691728594881
"6","AT","Austria",1965,1374.53213986075,4.93091113147128,NA,7270889,NA,8.28096068881389,17.7833344240166
"7","AT","Austria",1966,1486.96860600566,2.2058823529515,NA,7322066,NA,8.17998087380485,17.138322563131
"8","AT","Austria",1967,1569.66718289967,3.97499999941699,NA,7376998,NA,5.56155500257383,14.1964700118754
"9","AT","Austria",1968,1677.67352804272,2.77310250847049,NA,7415403,NA,6.88084367945618,12.8250805879041
"10","AT","Austria",1969,1825.38612552124,3.08040240203364,NA,7441055,NA,8.80460918107535,16.2912842548684
"11","AT","Austria",1970,2053.80951388476,4.37282493556892,NA,7467086,NA,12.5137024528601,22.4200942289924
"12","AT","Austria",1971,2375.24267361004,4.7042621052101,NA,7500482,NA,15.6505828584508,30.1227526823558
"13","AT","Austria",1972,2917.00484403329,6.3620629975386,NA,7544201,NA,22.8087081982173,42.0289868321724
"14","AT","Austria",1973,3881.34971725077,7.52408227034585,NA,7586115,NA,33.0594196711754,63.4085544342152
"15","AT","Austria",1974,4619.60172831448,9.52179176777693,NA,7599038,NA,19.0204971168284,58.3679827533999
"16","AT","Austria",1975,5272.88768233537,8.44525507087457,NA,7578903,NA,14.1416077064992,35.8519089094155
"17","AT","Austria",1976,5664.70742187183,7.318689159651,NA,7565525,NA,7.43083796093533,22.6232856211756
"18","AT","Austria",1977,6794.22094540602,5.474999999417,NA,7568430,NA,19.939485650628,28.8519944805054
"19","AT","Austria",1978,8185.70197122612,3.57904716751539,NA,7562305,NA,20.4803617221333,44.5035261595428
"20","AT","Austria",1979,9770.17215002269,3.70709382153294,NA,7549425,NA,19.3565583546311,43.8012132447487
"21","AT","Austria",1980,10843.3617230332,6.32538982057297,NA,7549433,NA,10.9843466065029,32.4670964218967
"22","AT","Austria",1981,9362.63998455272,6.80686220272196,NA,7568710,NA,-13.6555597452326,-4.17118715220411
