party_id,left_right,state_market,liberty_authority,eu_anti_pro,calculation_date
143,,,,,2012-10-15 12:08:04
145,,,,,2012-10-15 12:08:04
146,,,,,2012-10-15 12:08:04
147,2.2222222222222223,,,,2012-10-15 12:08:04
148,5.7894736842105265,5.2631578947368425,,2.6315789473684212,2012-10-15 12:08:04
149,,,,,2012-10-15 12:08:04
150,5.454545272024053,4.019138938502263,5.421052731965737,6.555023695293211,2012-10-15 12:08:04
151,,,,2.6,2012-10-15 12:08:04
152,,,,,2012-10-15 12:08:04
154,,,,,2012-10-15 12:08:04
155,,,,,2012-10-15 12:08:04
156,,,,,2012-10-15 12:08:04
158,,,,,2012-10-15 12:08:04
161,2.6410233871653297,2.3886904791781776,1.3743609112187434,7.541072100589145,2012-10-15 12:08:04
163,,,,,2012-10-15 12:08:04
164,,,,,2012-10-15 12:08:04
167,2.5,,,,2012-10-15 12:08:04
168,6.562222169240316,7.266666666666667,4.4380952835083,9.003086302015516,2012-10-15 12:08:04
170,,,,,2012-10-15 12:08:04
171,9.65497087177478,8.083133948476684,9.138158095510395,1.553884870127625,2012-10-15 12:08:04
173,,,,,2012-10-15 12:08:04
175,,,,,2012-10-15 12:08:04
176,9.576156641307628,4.0870926882091325,9.409250711139892,1.825216705339003,2012-10-15 12:08:04
177,,,,,2012-10-15 12:08:04
179,6.999643178571737,5.633918072884544,6.794736775180755,8.80404408772786,2012-10-15 12:08:04
180,2.6485568598697053,2.6315789473684212,2.190152720401163,9.12828947368421,2012-10-15 12:08:04
181,,,,,2012-10-15 12:08:04
184,7.822222233376304,6.24561410201221,8.45614081934879,,2012-10-15 12:08:04
185,2.9308235728020327,4.326835751533508,1.325055416885176,7.610096484067145,2012-10-15 12:08:04
187,,,,,2012-10-15 12:08:04
189,0.8,,,0.7333333333333333,2012-10-15 12:08:04
191,3.268698140194542,3.71517030816329,5.851393247905527,5.290858620091473,2012-10-15 12:08:04
194,,,,,2012-10-15 12:08:04
195,,,,,2012-10-15 12:08:04
196,4.122982472871479,3.8917150115966788,1.859649181365966,7.850499153137211,2012-10-15 12:08:04
198,,,,,2012-10-15 12:08:04
199,,,,,2012-10-15 12:08:04
200,6.633070213585569,4.874502978073923,7.998958707441357,1.0945476966991798,2012-10-15 12:08:04
202,,,,,2012-10-15 12:08:04
203,,,,,2012-10-15 12:08:04
204,,,,,2012-10-15 12:08:04
205,,,,,2012-10-15 12:08:04
207,3.996959069904528,2.008036181801244,7.325321615118737,2.1472929447017908,2012-10-15 12:08:04
209,9.409722222222221,8.5714282989502,9.25,1.3120370149612417,2012-10-15 12:08:04
210,1.1842105263157894,1.4473684210526316,1.6666665830110263,,2012-10-15 12:08:04
211,4.873600272091276,5.318007439563144,2.390263171697917,7.859423610285713,2012-10-15 12:08:04
212,8.296296359874583,6.0,8.54545497894287,3.5446968793869003,2012-10-15 12:08:04
213,5.869523741404216,5.985238049825034,5.403333333333333,8.965872902340362,2012-10-15 12:08:04
215,,,,,2012-10-15 12:08:04
217,,,,,2012-10-15 12:08:04
219,5.555555555555555,,,,2012-10-15 12:08:04
220,3.3799122807017543,3.512414929573996,3.6547677920157455,7.169676485117409,2012-10-15 12:08:04
221,,,,,2012-10-15 12:08:04
224,,,,5.0,2012-10-15 12:08:04
225,,,,,2012-10-15 12:08:04
226,6.109161920714788,5.118109113459,7.803801116608738,7.12799700979601,2012-10-15 12:08:04
227,0.7,,,,2012-10-15 12:08:04
228,4.444444444444445,,,,2012-10-15 12:08:04
229,,,,0.5500000000000002,2012-10-15 12:08:04
231,,,,,2012-10-15 12:08:04
233,0.4736841979779685,1.1052631077013526,7.894736842105263,1.3157894736842106,2012-10-15 12:08:04
234,5.978888835906983,5.899999968210857,5.76944449742635,8.027777777777779,2012-10-15 12:08:04
235,5.937571651354636,5.884832549346123,6.688169836496048,7.71572571235791,2012-10-15 12:08:04
237,,,,,2012-10-15 12:08:04
238,,,,,2012-10-15 12:08:04
239,,,,,2012-10-15 12:08:04
242,4.620555555555556,3.915,2.989999952316285,8.822222116258411,2012-10-15 12:08:04
243,,,,,2012-10-15 12:08:04
246,1.8182615572946124,1.5789473684210527,7.368421052631579,2.153110002216542,2012-10-15 12:08:04
247,,,,,2012-10-15 12:08:04
248,,,,,2012-10-15 12:08:04
251,8.022185463754756,8.196340816397417,8.99157890219437,4.390877233137162,2012-10-15 12:08:04
252,,,,,2012-10-15 12:08:04
254,,,,,2012-10-15 12:08:04
255,2.9308235728020327,4.326835751533508,1.325055416885176,7.610096484067145,2012-10-15 12:08:04
256,,,,,2012-10-15 12:08:04
257,,,,,2012-10-15 12:08:04
259,7.80000019073486,7.25,7.875,2.2222220897674503,2012-10-15 12:08:04
260,,,,1.95,2012-10-15 12:08:04
262,,,,,2012-10-15 12:08:04
264,,,,,2012-10-15 12:08:04
266,,,,,2012-10-15 12:08:04
267,,,,,2012-10-15 12:08:04
269,,,,,2012-10-15 12:08:04
270,9.685428565979004,7.401055432871765,9.288909839328966,0.21568923757787367,2012-10-15 12:08:04
272,,,,,2012-10-15 12:08:04
275,,,,,2012-10-15 12:08:04
278,,,,,2012-10-15 12:08:04
280,6.071346701683353,5.899085593223565,6.989778987482973,7.83888895511627,2012-10-15 12:08:04
281,,,,,2012-10-15 12:08:04
282,7.194994061386375,6.793807809478356,7.999706477115026,7.859664148364155,2012-10-15 12:08:04
285,7.65833330154419,9.0,9.0,5.833333333333333,2012-10-15 12:08:04
288,,,,,2012-10-15 12:08:04
290,6.532149159987299,5.880921052631579,6.059999949806619,6.424335882621898,2012-10-15 12:08:04
292,,,,,2012-10-15 12:08:04
293,7.756232713398158,6.1218838942678415,7.811634164107473,9.335179579885368,2012-10-15 12:08:04
296,2.4599656597680286,1.9195047177766476,1.1133603045814895,,2012-10-15 12:08:04
299,0.5139318892830316,0.3618421052631579,2.6754386801468684,1.9649122305083597,2012-10-15 12:08:04
300,5.80666660308838,5.69333339691162,6.772424170176187,8.289393957455953,2012-10-15 12:08:04
301,,,,,2012-10-15 12:08:04
303,,,,,2012-10-15 12:08:04
304,,,,,2012-10-15 12:08:04
306,0.8912280651561,1.2012280618098736,1.7523976203851515,0.9970525113114201,2012-10-15 12:08:04
307,,,,,2012-10-15 12:08:04
308,,,,,2012-10-15 12:08:04
309,1.25,2.1092982456140352,5.583684210526316,4.868421052631579,2012-10-15 12:08:04
310,2.5,1.5789473684210527,0.7894736842105263,7.5,2012-10-15 12:08:04
311,3.118301891527678,2.6251388829632805,3.710684542404978,7.831412994652459,2012-10-15 12:08:04
313,7.1899999999999995,7.77,4.02,9.225000000000001,2012-10-15 12:08:04
315,,,,5.366666666666666,2012-10-15 12:08:04
317,,,,,2012-10-15 12:08:04
318,3.6251581474586767,3.3530027044446853,3.1070787958094956,7.129166666666666,2012-10-15 12:08:04
319,,,,,2012-10-15 12:08:04
321,,,,,2012-10-15 12:08:04
322,,,,,2012-10-15 12:08:04
323,,,,,2012-10-15 12:08:04
325,,,,,2012-10-15 12:08:04
326,,,,,2012-10-15 12:08:04
328,,,,,2012-10-15 12:08:04
332,,,,,2012-10-15 12:08:04
334,,,,,2012-10-15 12:08:04
