id,country_id,commission_year,commission_name,person_id,person_id_source,start_date,end_date,incumbent,one_seat,party_id,government_party,president,portfolio,elected,score_position,highest_position,data_source,comment,previous_cabinet_id
109,41,1985,Delors I,9086,"Varfis, Grigorios",1985-01-06,1989-01-05,0,1,1338,0,0,regional policy. relations with parliament,1,0.5,deputy foreign minister,doering,no party information but government member,713
110,43,1985,Delors I,5804,"Delors, Jacques",1985-01-06,1989-01-05,0,0,1539,0,1,president,1,1.92,minister economy and defense,doering,,843
111,8,1989,Delors II,13160,"Andriessen, Frans",1989-01-06,1993-01-05,1,1,235,0,0,external relations and trade,0,2.02,minister finance,doering,,550
112,54,1989,Delors II,2913,"Bangemann, Martin",1989-01-06,1993-01-05,0,0,543,0,0,industry and single market,1,0.99,minister economic affairs,doering,,286
113,44,1989,Delors II,14789,"Brittan, Leon",1989-01-06,1993-01-05,0,0,773,0,0,competition policy and finacial services,1,1.32,minister interior,doering,,297
114,63,1989,Delors II,13398,"Cardoso e Cunha, Antonio",1989-01-06,1993-01-05,0,1,1273,0,0,energy,1,0.83,minister agriculture and fisheries,doering,,718
115,21,1989,Delors II,6634,"Christophersen, Henning",1989-01-06,1993-01-05,1,1,1605,0,0,economic and financial affairs,1,1.88,minister finance,doering,,57
116,7,1989,Delors II,8707,"Dondelinger, Jean",1989-01-06,1993-01-05,0,1,1002,0,0,cultural affairs (broadcasting policy),0,0.33,MEP 1974-79; diplomat -- Luxembourgs 'top diplomat' (FT),doering,,175
117,27,1989,Delors II,10937,"Marin, Manuel",1989-01-06,1993-01-05,1,0,902,0,0,overseas development and fisheries,1,0.5,junior minister relations to EC,doering,,834
118,27,1989,Delors II,15606,"Matutes, Abel",1989-01-06,1993-01-05,1,0,645,1,0,mediterranean policy and north-south relations,1,0.33,mp,doering,,834
119,37,1989,Delors II,16728,"McSharry, Ray",1989-01-06,1993-01-05,0,1,280,0,0,agriculture,1,1.83,minister finance,doering,,77
120,64,1989,Delors II,2416,"Miert, Karl van",1989-01-06,1993-01-05,0,1,1029,0,0,transport,1,1.0,leader oppostion party,doering,,457
121,44,1989,Delors II,6598,"Millan, Bruce",1989-01-06,1993-01-05,0,0,1556,1,0,regional policy,1,0.8,Scottish secretary,doering,,297
122,26,1989,Delors II,5166,"Pandolfi, Filippo Maria",1989-01-06,1993-01-05,0,0,1633,0,0,science and research,1,1.64,minister treasury,doering,,809
