id,country_id,commission_year,commission_name,person_id,person_id_source,start_date,end_date,incumbent,one_seat,party_id,government_party,president,portfolio,elected,score_position,highest_position,data_source,comment,previous_cabinet_id
235,72,2010,Barroso II,11019,"Dalli, John",2010-02-10,2014-10-31,0,1,984,0,0,health and consumer policy,,1.43,"minister finance and economic affairs, foreign minister","ec.europa.eu, Munzinger, Parlgov, Druckman/Roberts(2008), Druckman/Warwick (2005)",Malta is not coded; position score 1.43 is for the position of foreign minister (see Joe Borg). position score of finance minister might be higher,468
236,64,2010,Barroso II,15520,"De Gucht, Karel",2010-02-10,2014-10-31,1,1,1110,1,0,trade,,1.28,minister foreign affairs and european affairs,"ec.europa.eu, Munzinger, Parlgov, Druckman/Roberts(2008), Druckman/Warwick (2005)",,431
237,68,2010,Barroso II,16869,"Füle, Štefan",2010-02-10,2014-10-31,0,1,1567,0,0,enlargement and european neighbourhood policy,,1.0,minister european affairs,"ec.europa.eu, Munzinger, Parlgov, Druckman/Roberts(2008), Druckman/Warwick (2005)",,157
238,37,2010,Barroso II,8185,"Geoghegan-Quinn, Máire",2010-02-10,2014-10-31,0,1,280,0,0,"research, innovation and science",,1.24,minister justice,"ec.europa.eu, Munzinger, Parlgov, Druckman/Roberts(2008), Druckman/Warwick (2005)",,173
239,10,2010,Barroso II,16870,"Georgieva, Kristalina",2010-02-10,2014-10-31,0,1,1541,0,0,international cooperation. humanitarian aid and crisis response,,0.2,vice president and corporate secretary of the World Bank Group,"ec.europa.eu, Munzinger, Parlgov, Druckman/Roberts(2008), Druckman/Warwick (2005)",close to Citizens for European Development of Bulgaria (GERB),805
240,59,2010,Barroso II,1416,"Hahn, Johannes",2010-02-10,2014-10-31,0,1,1013,0,0,regional policy,0,0.89,minister science and research,"ec.europa.eu, Munzinger, Parlgov, Druckman/Roberts(2008), Druckman/Warwick (2005)",,268
241,21,2010,Barroso II,6095,"Hedegaard, Connie",2010-02-10,2014-10-31,0,1,590,0,0,climate action,,1.33,minister environment,"ec.europa.eu, Munzinger, Parlgov, Druckman/Roberts(2008), Druckman/Warwick (2005)",,71
242,75,2010,Barroso II,16396,"Kallas, Siim",2010-02-10,2014-10-31,1,1,113,0,0,transport,,2.25,prime minister,"ec.europa.eu, Munzinger, Parlgov, Druckman/Roberts(2008), Druckman/Warwick (2005)",,902
243,8,2010,Barroso II,10749,"Kroes, Neelie",2010-02-10,2014-10-31,1,1,1409,1,0,digital agenda,,0.92,minister transport,"ec.europa.eu, Munzinger, Parlgov, Druckman/Roberts(2008), Druckman/Warwick (2005)",,69
244,74,2010,Barroso II,14860,"Lewandowski, Janusz",2010-02-10,2014-10-31,0,1,512,0,0,financial programming and budget,,1.14,minister privatisation,"ec.europa.eu, Munzinger, Parlgov, Druckman/Roberts(2008), Druckman/Warwick (2005)",,164
