tbl,idx,stat
external_taglarsson_party_parlgov,external_taglarsson_party_parlgov_534dd89,1653 37
minister_cabinet,minister_cabinet_1c15b1e9,795 795
minister_cabinet,minister_cabinet_4db91e35,795 2
minister_cabinet,minister_cabinet_199461f6,795 2
minister_cabinet,minister_cabinet_52094d6e,795 2
minister_cabinet,minister_cabinet_534dd89,795 23
minister_cabinet,sqlite_autoindex_minister_cabinet_1,795 795
django_flatpage,django_flatpage_a4b49ab,5 1
django_admin_log,django_admin_log_1bb8f392,13354 382
django_admin_log,django_admin_log_403f60f,13354 1113
info_news,,92
external_mep_hix_ea_party,sqlite_autoindex_external_mep_hix_ea_party_1,169 1
minister_position_country,minister_position_country_52094d6e,33 2
minister_position_country,minister_position_country_2ffcd08c,33 2
minister_position_country,minister_position_country_7fe7fecb,33 5
minister_position_country,minister_position_country_534dd89,33 3
info_data_source_country,info_data_source_country_534dd89,79 3
info_data_source_country,info_data_source_country_28eb74d1,79 2
info_data_source_country,sqlite_autoindex_info_data_source_country_1,79 2 1
external_party_castles_mair,external_party_castles_mair_a9e7aee,119 7
external_party_castles_mair,sqlite_autoindex_external_party_castles_mair_1,119 1
external_party_cmp,external_party_cmp_a9e7aee,755 15
external_party_cmp,sqlite_autoindex_external_party_cmp_1,755 1
party_change,party_change_777d41c8,426 61
party_change,party_change_679343db,426 3
party_change,party_change_15461b4,426 2
party_change,party_change_764fa81,426 2
info_table,sqlite_autoindex_info_table_1,52 1
minister_portfolio,,200
minister_ministry,,549
